"I want to eat	",4
"he did not answer	",3
"he got a raise	",2
"she got me a present	",2
"ha ha ha it was so funny	",2
"he is a good friend	",2
"I am upset	",3
"We had such a lovely dinner tonight	",2
"where is the food	",4
"Stop making this joke ha ha ha	",2
"where is the ball	",1
"work is hard	",3
"This girl is messing with me	",3
are you serious,3
"Let us go play baseball	",1
"This stupid grader is not working 	",3
"work is horrible	",3
"Congratulation for having a baby	",2
stop pissing me off,3
"any suggestions for dinner	",4
"I love taking breaks	",0
"you brighten my day	",2
"I boiled rice	",4
"she is a bully	",3
"Why are you feeling bad	",3
"I am upset	",3
give me the ball,1
"My grandmother is the love of my life	",0
enjoy your game,1
"valentine day is near	",2
"I miss you so much	",0
"throw the ball	",1
"My life is so boring	",3
"she said yes	",2
"will you be my valentine	",2
"he can pitch really well	",1
"dance with me	",2
I am hungry,4
"See you at the restaurant	",4
"I like to laugh	",2
I will  run,1
"I like your jacket 	",0
"i miss her	",0
"what is your favorite baseball game	",1
"Good job	",2
"I love you to the stars and back	",0
"What you did was awesome	",2
"ha ha ha lol	",2
"I want to joke	",2
"go away	",3
"yesterday we lost again	",3
"family is all I have	",0
"you are failing this exercise	",3
"Good joke	",2
"You deserve this prize	",2
I did not have breakfast ,4
